grouping,run,native_program_id,native_program_name,n_cells,mean_score,median_score,timepoint,final_label,leiden_native_program
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,1176,3.5701961175344272,3.603743999772907,,,0
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,1176,1.2661766456177916,1.214412223860727,,,0
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,1176,0.9592647926839654,0.981468505382631,,,0
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,1176,0.9311966601481735,0.9239031118090193,,,0
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,1143,3.5243232024566136,3.5563450172761697,,,1
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,1143,1.2139333595296213,1.179132875765442,,,1
leiden_native_program,,ion_water_balance,Ion / water balance,1143,0.9850618411203431,0.9733076364270754,,,1
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,1143,0.5582617535912191,0.48202029466629026,,,1
leiden_native_program,,nutrient_transport,Nutrient transport,1143,0.4699452792366431,0.4610859950383504,,,1
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,1143,2.8514350554502155,2.8620831906795505,,,1
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,1143,2.711238683121902,2.713832629306655,,,1
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,1143,1.1290666670606415,1.116411876678467,,,1
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,1143,0.9292878260253521,0.848983484140295,,,1
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,1080,3.407698662190226,3.4692242587347875,,,2
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,1080,4.029057264571738,4.050635759319578,,,2
leiden_native_program,,ion_water_balance,Ion / water balance,1080,0.8432992513190671,0.8132344456336923,,,2
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,1080,0.28620957877308184,0.2557802780259533,,,2
leiden_native_program,,nutrient_transport,Nutrient transport,1080,0.27618286853646495,0.13753021578212088,,,2
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,1080,3.1796163063523815,3.2062703955310674,,,2
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,1080,1.239405564906523,0.9510028235712591,,,2
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,1080,0.6215616366931407,0.5983952650638198,,,2
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,1080,0.5230167701625562,0.49062013777789837,,,2
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,1010,3.254408700553056,3.2771822381915214,,,3
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,1010,1.6526454391235617,1.5963189105177271,,,3
leiden_native_program,,ion_water_balance,Ion / water balance,1010,1.0633465873589445,1.0830379026073524,,,3
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,1010,1.575359422383765,1.656116533616715,,,3
leiden_native_program,,nutrient_transport,Nutrient transport,1010,0.43638011714528196,0.44481434911519574,,,3
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,1010,3.124844567186236,3.148885769487777,,,3
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,1010,0.988930860051218,1.0077815029576935,,,3
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,1010,1.1720167331911773,1.1955503609110225,,,3
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,1010,2.3338260581026113,2.3928781725623374,,,3
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,988,2.8769839157680477,2.8720518501703935,,,4
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,988,1.7349149631106118,1.6297435221950884,,,4
leiden_native_program,,ion_water_balance,Ion / water balance,988,0.8739259040291306,0.8732128089500814,,,4
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,988,1.5319991719139283,1.6365666390248994,,,4
leiden_native_program,,nutrient_transport,Nutrient transport,988,0.7746370417400372,0.7897025953946013,,,4
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,988,2.323666400906098,2.2684189813767643,,,4
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,988,3.5611820574184074,3.6629067588952506,,,4
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,988,1.5272592185065206,1.550270736217499,,,4
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,988,1.8768807020943643,1.8939214650463092,,,4
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,961,3.580929464932551,3.6677146355897494,,,5
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,961,1.882523642051946,1.878852681828702,,,5
leiden_native_program,,ion_water_balance,Ion / water balance,961,1.2827415258761476,1.273447871208191,,,5
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,961,0.4817929819235311,0.4751921138810299,,,5
leiden_native_program,,nutrient_transport,Nutrient transport,961,0.47672494271478727,0.4105164651694614,,,5
leiden_native_program,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,961,3.055344996936229,3.1294013281972335,,,5
leiden_native_program,,rna_binding_regulatory,RNA-binding / regulatory,961,2.432778972114301,2.6207277869128283,,,5
leiden_native_program,,stress_chaperone_response,Stress / chaperone response,961,1.3584710159076885,1.3802357053863181,,,5
leiden_native_program,,unknown_high_marker,Unknown high-ranking marker,961,0.801067267823433,0.7926370668854101,,,5
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,888,3.515680752657264,3.5770781548229786,,,6
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,888,1.6643710638351346,1.6422112077768607,,,6
leiden_native_program,,ion_water_balance,Ion / water balance,888,2.032975146743791,2.088838423291842,,,6
leiden_native_program,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,888,0.3696240203308655,0.35572422511587065,,,6
leiden_native_program,,nutrient_transport,Nutrient transport,888,0.6831150466749805,0.6680680630330338,,,6
