grouping,run,native_program_id,native_program_name,n_cells,mean_score,median_score,timepoint,final_label
final_label,,rna_binding_regulatory,RNA-binding / regulatory,4,2.070284193086799,1.9911312765442846,,transport_interface_or_water_balance
final_label,,stress_chaperone_response,Stress / chaperone response,4,1.2764468249813783,1.2395574152469635,,transport_interface_or_water_balance
final_label,,unknown_high_marker,Unknown high-ranking marker,4,1.839271075435784,1.5529684005626923,,transport_interface_or_water_balance
final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,58,3.621142221268184,3.6571501279945355,,vascular_like_or_transport
final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,58,2.8546328236779424,2.639261886122642,,vascular_like_or_transport
final_label,,ion_water_balance,Ion / water balance,58,1.354436850026627,1.2617858318343576,,vascular_like_or_transport
final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,58,0.7777946780794797,0.7672990532422836,,vascular_like_or_transport
final_label,,nutrient_transport,Nutrient transport,58,0.45295407610964156,0.4071463415825093,,vascular_like_or_transport
final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,58,3.422156902030912,3.484331154783032,,vascular_like_or_transport
final_label,,rna_binding_regulatory,RNA-binding / regulatory,58,1.5175852565201684,1.4568502214015147,,vascular_like_or_transport
final_label,,stress_chaperone_response,Stress / chaperone response,58,0.7648911151042185,0.712531154018715,,vascular_like_or_transport
final_label,,unknown_high_marker,Unknown high-ranking marker,58,0.7658076198001097,0.6081569989743241,,vascular_like_or_transport
timepoint+final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,4823,3.669627449832986,3.6898248624896763,dawn,ambiguous
timepoint+final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,4823,2.229262815202432,2.0396602168682954,dawn,ambiguous
timepoint+final_label,,ion_water_balance,Ion / water balance,4823,1.5967133737982098,1.5417054542861937,dawn,ambiguous
timepoint+final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,4823,1.0776889130453056,0.9926253093804269,dawn,ambiguous
timepoint+final_label,,nutrient_transport,Nutrient transport,4823,0.707039823699395,0.43113203058299376,dawn,ambiguous
timepoint+final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,4823,3.806513679952468,3.832355426735779,dawn,ambiguous
timepoint+final_label,,rna_binding_regulatory,RNA-binding / regulatory,4823,1.2401699102026829,1.2061138377682434,dawn,ambiguous
timepoint+final_label,,stress_chaperone_response,Stress / chaperone response,4823,0.9737785833300626,0.9702090018849945,dawn,ambiguous
timepoint+final_label,,unknown_high_marker,Unknown high-ranking marker,4823,1.2715567171538456,1.1417220204961915,dawn,ambiguous
timepoint+final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,669,3.584084150089691,3.6823334399077794,dawn,photosynthetic_or_assimilation
timepoint+final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,669,2.5988441101674304,2.180507716002193,dawn,photosynthetic_or_assimilation
timepoint+final_label,,ion_water_balance,Ion / water balance,669,1.3684713870677454,1.3419987496124088,dawn,photosynthetic_or_assimilation
timepoint+final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,669,0.7809501919624663,0.7128675019564028,dawn,photosynthetic_or_assimilation
timepoint+final_label,,nutrient_transport,Nutrient transport,669,0.3929434664764537,0.08004908243435147,dawn,photosynthetic_or_assimilation
timepoint+final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,669,3.6732584873252807,3.766138522945147,dawn,photosynthetic_or_assimilation
timepoint+final_label,,rna_binding_regulatory,RNA-binding / regulatory,669,0.9435531142083504,0.9297164362991551,dawn,photosynthetic_or_assimilation
timepoint+final_label,,stress_chaperone_response,Stress / chaperone response,669,0.727167930849035,0.7122980473857099,dawn,photosynthetic_or_assimilation
timepoint+final_label,,unknown_high_marker,Unknown high-ranking marker,669,0.8998539745591312,0.6320234812868826,dawn,photosynthetic_or_assimilation
timepoint+final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,1,3.6784820897692683,3.6784820897692683,dawn,review_required
timepoint+final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,1,4.371225360688748,4.371225360688748,dawn,review_required
timepoint+final_label,,ion_water_balance,Ion / water balance,1,0.41046476255882935,0.41046476255882935,dawn,review_required
timepoint+final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,1,0.4422170264743275,0.4422170264743275,dawn,review_required
timepoint+final_label,,nutrient_transport,Nutrient transport,1,0.0,0.0,dawn,review_required
